Company,Location,Date of Posting,Total Compensation,Base,Stock,Bonuses
Google,"Mountain View, CA",2022-09-06 00:00:00,188300,142000,25000,21300
Twilio,"San Francisco, CA",2022-09-19 00:00:00,188000,153000,35000,N/A
Facebook,"Menlo Park, CA",2022-09-19 00:00:00,187500,125000,12500,50000
Palo Alto Networks,"Santa Clara, CA",2022-10-01 00:00:00,187400,145000,25000,17400
Splunk,"San Francisco, CA",2022-09-06 00:00:00,187333,140000,33300,14000
Nvidia,"Santa Clara, CA",2022-09-30 00:00:00,187000,157000,30000,N/A
PayPal,"San Jose, CA",2022-09-27 00:00:00,186750,150000,18000,18800
WePay,"Palo Alto, CA",2022-09-30 00:00:00,186250,145000,N/A,41300
Apple,"Cupertino, CA",2022-09-20 00:00:00,186000,145000,26000,15000
Salesforce,"San Francisco, CA",2022-09-13 00:00:00,186000,161000,25000,N/A
Verkada,"San Francisco, CA",2022-09-15 00:00:00,185000,150000,35000,N/A
Affirm,"San Francisco, CA",2022-09-23 00:00:00,185000,160000,25000,N/A
Verkada,"San Francisco, CA",2022-09-24 00:00:00,185000,150000,35000,N/A
Oracle,"Redwood City, CA",2022-09-07 00:00:00,185000,130000,55000,N/A
Oracle,"San Francisco, CA",2022-09-14 00:00:00,185000,130000,55000,N/A
DiDi,"Mountain View, CA",2022-09-28 00:00:00,185000,130000,40000,15000
Adobe,"San Jose, CA",2022-09-19 00:00:00,184200,152000,8500,23700
Oracle,"Redwood City, CA",2022-09-14 00:00:00,184000,144000,40000,N/A
ByteDance,"Mountain View, CA",2022-09-18 00:00:00,183750,125000,27500,31300
Intuit,"Mountain View, CA",2022-09-23 00:00:00,183250,145000,21300,17000
Facebook,"Menlo Park, CA",2022-10-02 00:00:00,183000,118000,40000,25000
eBay,"San Jose, CA",2022-09-24 00:00:00,182875,140000,17000,25900
Marqeta,"Oakland, CA",2022-09-21 00:00:00,182591,139000,23400,20200
Lacework,"San Jose, CA",2022-09-28 00:00:00,181900,137500,44400,N/A
Square,"San Francisco, CA",2022-09-26 00:00:00,181800,148800,33000,N/A
Atlassian,"San Francisco, CA",2022-09-21 00:00:00,181333,135000,33300,13000
Adobe,"San Francisco, CA",2022-09-12 00:00:00,181275,136500,28100,16700
Microsoft,"Mountain View, CA",2022-09-20 00:00:00,181250,140000,32500,8800
23andMe,"Sunnyvale, CA",2022-09-30 00:00:00,181250,140000,24800,16500
ByteDance,"Mountain View, CA",2022-09-14 00:00:00,181250,125000,25000,31300
Microsoft,"Mountain View, CA",2022-09-23 00:00:00,181190,127900,30000,23300
Uber,"San Francisco, CA",2022-09-20 00:00:00,180718,128300,25400,27100
Amazon,"Santa Clara, CA",2022-09-09 00:00:00,180400,148400,32000,N/A
Oracle,"Santa Clara, CA",2022-09-27 00:00:00,180180,120000,45000,15200
Analog Devices,"South San Francisco, CA",2022-10-04 00:00:00,180000,150000,30000,N/A
N/A,N/A,N/A,180000,180000,N/A,N/A
